项目名称,住宅总套数,项目地址,开发单位,项目类型,设计单位,总建筑面积,施工单位,住宅建筑面积,监理单位
浦东新区曹路区级征收安置房17-02地块项目,1876,东群河防护绿地，南至陆家沟防护绿地，西至金拓路、17-01规划变电站，北至民秋路、17-01规划变电站,上海中建一局集团投资发展有限公司,保障房,上海中建建筑设计院有限公司,196306,中建一局集团建设发展有限公司,138993,思立博（上海）工程咨询有限公司
浦东新区川沙新镇六灶社区03-1地块,1124,南至聚溪路，东至吉夏路，西至迪安路，北至六灶港河,光明房地产集团上海汇兆置业有限公司,保障房,上海城乡建筑设计院有限公司,116636,上海农工商建设发展有限公司,83990,上海百通项目管理咨询有限公司
川沙新市镇城东社区D06A-08地块征收安置房项目,1564,东至理川路、 D06B-09地块，南至D06B-09地块、新川路，西至D06B-10地块，北至秀沙路。,上海心圆房地产开发有限公司,保障房,北京中联环建文建筑设计有限公司,175081,上海市浦东新区建设（集团）有限公司,125911,上海东旭建设工程监理有限公司
浦东新区合庆镇川沙北社区D06D-15地块征收安置房项目,882,东至华洲路，南至 D06D-17地块，西至D06D-14地块，北至锦沙路,上海庆发房地产开发有限公司,保障房,上海浦东建筑设计研究院有限公司,93381,上海市浦东新区建设（集团）有限公司,67800,上海恒基建设工程项目管理有限公司
浦东新区宣桥镇老港农民集中安置单元11-01地块征收安置房项目,864,东至宁达路，南至辰腾路，西至11-02地块、11-03地块，北至11-04地块,上海浦发澳丽房地产有限公司,保障房,上海市浦东新区规划建筑设计有限公司,92455.77,上海南汇建工建设（集团）有限公司,68507,上海建科工程咨询有限公司
浦东新区宣桥镇老港农民集中安置单元09-01地块征收安置房项目,888,东至悦通路，南至辰腾路，西至09-03地块，北至09-02地块,上海浦发澳丽房地产有限公司,保障房,上海筑景建筑设计有限公司,92704.72,上海浦东北蔡市政建筑有限公司,68245,上海建科工程咨询有限公司
浦东新区新场镇PDS2-0102单元控制性详细规划C街坊C-06a地块征收安置房项目,1496,东至C-07、C-08地块，南至C-10、C-06b地块，西至C-10、C-06b地块，北至C-10、地块,上海周房置业有限公司,保障房,华东建筑设计研究院有限公司,162256,上海南汇建工建设（集团）有限公司,125392,上海百通项目项目管理咨询有限公司
航头镇PDS1-0205 单元06-05地块征收安置房项目,340,东至06-04地块，西至06-04地块，南至飞云桥路，北至06-04地块,上海住保航程置业有限公司,保障房,上海中星志成建筑设计有限公司,38622,上哈建工五建集团有限公司,29457,上海住远建设工程监理有限公司
航头镇PDS1-0205 单元14-05地块征收安置房项目,306,东至地块边界，南至14-04地块，西至14-04地块，北至飞云桥路,上海中建申拓城市投资发展有限公司,保障房,上海浦东建筑设计研究院有限公司,35152,中国建筑第八工程局有限公司,23530,上海大通工程监理有限公司
航头镇PDS-0205 单元13-02地块征收安置房项目,578,东至圣中河路，南至13-01地块，西至13-01地块，北至飞云桥路,上海中建申拓城市投资发展有限公司,保障房,上海浦东建筑设计研究院有限公司,63016,中建八局第四建设有限公司,45376,上海大通工程监理有限公司
